List of opcodes
Jump to navigationJump to search
This is a list of all opcodes, including nops and unsupported ones, in GTA III, Vice City, and San Andreas. Brief descriptions and notes are added to the list for quick and easy access to information.

Opcode	Games	P	Parameter type	Brief description	Notes
0191	GTA III Vice City San Andreas	1	car handle	remove car from flipped check	
0192	GTA III Vice City	1	char handle	set char obj wait on foot	
0193	GTA III Vice City	1	char handle	set char objective to act like ped	
0194	GTA III Vice City	4	char handle, flt, flt, flt	set char objective to go to point	
0195	GTA III	5	char handle, flt, flt, flt, flt	set char objective to guard area	
0196	GTA III	1	char handle	set char objective wait in car	
0197	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player in area on foot 2d	parameters rearranged in SB
0198	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player in area in car 2d	parameters rearranged in SB
0199	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player stopped in area 2d	parameters rearranged in SB
019A	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player stopped in area on foot 2d	parameters rearranged in SB
019B	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player stopped in area in car 2d	parameters rearranged in SB
019C	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player in area on foot 3d	parameters rearranged in SB
019D	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player in area in car 3d	parameters rearranged in SB
019E	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player stopped in area 3d	parameters rearranged in SB
019F	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player stopped in area on foot 3d	parameters rearranged in SB
01A0	GTA III Vice City	8	player handle, flt, flt, flt, flt, flt, flt, int	is player stopped in area in car 3d	parameters rearranged in SB
01A1	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char in area on foot 2d	parameters rearranged in SB
01A2	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char in area in car 2d	parameters rearranged in SB
01A3	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char stopped in area 2d	parameters rearranged in SB
01A4	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char stopped in area on foot 2d	parameters rearranged in SB
01A5	GTA III Vice City San Andreas	6	char handle, flt, flt, flt, flt, int	is char stopped in area in car 2d	parameters rearranged in SB
01A6	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char in area on foot 3d	parameters rearranged in SB
01A7	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char in area in car 3d	parameters rearranged in SB
01A8	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char stopped in area 3d	parameters rearranged in SB
01A9	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char stopped in area on foot 3d	parameters rearranged in SB
01AA	GTA III Vice City San Andreas	8	char handle, flt, flt, flt, flt, flt, flt, int	is char stopped in area in car 3d	parameters rearranged in SB
01AB	GTA III Vice City San Andreas	6	car handle, flt, flt, flt, flt, int	is car stopped in area 2d	parameters rearranged in SB
01AC	GTA III Vice City San Andreas	8	car handle, flt, flt, flt, flt, flt, flt, int	is car stopped in area 3d	parameters rearranged in SB
01AD	GTA III Vice City San Andreas	6	car handle, flt, flt, flt, flt, int	locate car 2d	parameters rearranged in SB
01AE	GTA III Vice City San Andreas	6	car handle, flt, flt, flt, flt, int	locate stopped car 2d	parameters rearranged in SB
01AF	GTA III Vice City San Andreas	8	car handle, flt, flt, flt, flt, flt, flt, int	locate car 3d	parameters rearranged in SB
01B0	GTA III Vice City San Andreas	8	car handle, flt, flt, flt, flt, flt, flt, int	locate stopped car 3d	parameters rearranged in SB
01B1	GTA III Vice City	3	player handle, int, int	give weapon to player	
01B2	GTA III Vice City San Andreas	3	char handle, int, int	give weapon to char	
01B3	unsupported	-			
01B4	GTA III Vice City San Andreas	2	player handle	set player control	
01B5	GTA III Vice City San Andreas	1	int	force weather	
01B6	GTA III Vice City San Andreas	1	int	force weather now	
01B7	GTA III Vice City San Andreas	0		release weather	
01B8	GTA III Vice City	2	player handle, int	set current player weapon	
01B9	GTA III Vice City San Andreas	2	char handle, int	set current char weapon	
01BA	unsupported	-			
01BB	GTA III Vice City San Andreas	4	object handle, var, var, var	get object coordinates	
01BC	GTA III Vice City San Andreas	4	object handle, flt, flt, flt	set object coordinates	
01BD	GTA III Vice City San Andreas	1	var	get game timer	
01BE	GTA III Vice City	4	char handle, flt, flt, flt	turn char to face coord	
01BF	GTA III	4	player handle, flt, flt, flt	turn player to face coord	
01C0	GTA III Vice City San Andreas	2	player handle, var	store wanted level	parameters rearranged in SB
01C1	GTA III Vice City San Andreas	1	car handle	is car stopped	
01C2	GTA III Vice City San Andreas	1	char handle	mark char as no longer needed	
01C3	GTA III Vice City San Andreas	1	car handle	mark car as no longer needed	
01C4	GTA III Vice City San Andreas	1	object handle	mark object as no longer needed	
01C5	GTA III Vice City San Andreas	1	char handle	dont remove char	
01C6	GTA III	1	car handle	dont remove car	restored in VC
01C7	GTA III Vice City San Andreas	1	object handle	dont remove object	
01C8	GTA III Vice City San Andreas	5	car handle, int, int, int, var	create char as passenger	parameters rearranged in SB
01C9	GTA III Vice City	2	char handle, char handle	set char obj kill char on foot	
01CA	GTA III Vice City	2	char handle, player handle	set char obj kill player on foot	
01CB	GTA III Vice City	2	char handle, char handle	set char obj kill char by any means	
01CC	GTA III Vice City	2	char handle, player handle	set char obj kill player by any means	
01CD	GTA III	2	char handle, char handle	set char flee char on foot till safe	
01CE	GTA III Vice City	2	char handle, player handle	set char flee player on foot till safe	
01CF	GTA III Vice City	2	char handle, char handle	char avoid char on foot always	
01D0	GTA III Vice City	2	char handle, player handle	char avoid player on foot always	
01D1	GTA III Vice City	2	char handle, char handle	set char obj goto char on foot	
01D2	GTA III Vice City	2	char handle, player handle	set char goto player on foot	
01D3	GTA III Vice City	2	char handle, car handle	set char obj leave car	
01D4	GTA III Vice City	2	char handle, car handle	set char obj enter car as passenger	
01D5	GTA III Vice City	2	char handle, car handle	set char obj enter car as driver	
01D6	unsupported	-			
01D7	unsupported	-			
01D8	Vice City	2	char handle, object handle	set char obj destroy object	
01D9	GTA III Vice City	2	char handle, car handle	set char obj destroy car	
01DA	GTA III	5	char handle, flt, flt, flt, flt	task actor walk to area	
01DB	unsupported	-			
01DC	unsupported	-			
01DD	unsupported	-			
01DE	GTA III Vice City	2	char handle, char handle	set char as leader	
01DF	GTA III Vice City	2	char handle, player handle	set player as leader	
01E0	GTA III Vice City	1	char handle	leave group	
01E1	GTA III Vice City	3	char handle, int, int	set char obj follow route	
01E2	GTA III Vice City	4	int, flt, flt, flt	add route point	
01E3	GTA III Vice City San Andreas	4	string, int, int, int	print with number big	
01E4	GTA III Vice City San Andreas	4	string, int, int, int	print with number	
01E5	GTA III Vice City San Andreas	4	string, int, int, int	print with number now	
01E6	unsupported	-			
01E7	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	switch roads on	
01E8	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	switch roads off	
01E9	GTA III Vice City San Andreas	2	car handle, var	get number of passengers	parameters rearranged in SB
01EA	GTA III Vice City San Andreas	2	car handle, var	get maximum number of passengers	parameters rearranged in SB
01EB	GTA III Vice City San Andreas	1	flt	set car density multiplier	
01EC	GTA III Vice City San Andreas	2	car handle, int	set car heavy	
01ED	GTA III Vice City	1	char handle	clear char threat search	
01EE	GTA III	10	flt, flt, flt, flt, flt, flt, flt, flt, flt, flt	activate crane	restored in VC
01EF	GTA III	2	flt, flt	deactivate crane	restored in VC
01F0	GTA III Vice City San Andreas	1	int	set max wanted level	
01F1	unsupported	-			
01F2	unsupported	-			
01F3	GTA III Vice City San Andreas	1	car handle	is car in air proper	
01F4	GTA III Vice City San Andreas	1	car handle	is car upsidedown	
01F5	GTA III Vice City San Andreas	2	player handle, var	get player char	parameters rearranged in SB
01F6	GTA III Vice City San Andreas	0		cancel override restart	
01F7	GTA III Vice City San Andreas	2	player handle, int	set police ignore player	
01F8	GTA III	5	string, int, int, int, int	print pager text with number	
01F9	GTA III Vice City San Andreas	9	string, int, int, int, int, int, int, int, int	start rampage	
01FA	GTA III Vice City San Andreas	1	var	read rampage status	
01FB	GTA III Vice City San Andreas	2	flt, var	get square root	
01FC	GTA III Vice City	5	player handle, car handle, flt, flt, int	locate player by any means car 2d	
01FD	GTA III Vice City	5	player handle, car handle, flt, flt, int	locate player on foot car 2d	
01FE	GTA III Vice City	5	player handle, car handle, flt, flt, int	locate player in car car 2d	
01FF	GTA III Vice City	6	player handle, car handle, flt, flt, flt, int	locate player by any means car 3d	
0200	GTA III Vice City	6	player handle, car handle, flt, flt, flt, int	locate player on foot car 3d	
0201	GTA III Vice City	6	player handle, car handle, flt, flt, flt, int	locate player in car car 3d	
0202	GTA III Vice City San Andreas	5	char handle, car handle, flt, flt, int	locate char by any means car 2d	
0203	GTA III Vice City San Andreas	5	char handle, car handle, flt, flt, int	locate char on foot car 2d	
0204	GTA III Vice City San Andreas	5	char handle, car handle, flt, flt, int	locate char in car car 2d	
0205	GTA III Vice City San Andreas	6	char handle, car handle, flt, flt, flt, int	locate char by any means car 3d	
0206	GTA III Vice City San Andreas	6	char handle, car handle, flt, flt, flt, int	locate char on foot car 3d	
0207	GTA III Vice City San Andreas	6	char handle, car handle, flt, flt, flt, int	locate char in car car 3d	
0208	GTA III Vice City San Andreas	2	flt, flt, var	generate random float in range	parameters rearranged in SB
0209	GTA III Vice City San Andreas	2	int, int, var	generate random int in range	parameters rearranged in SB
020A	GTA III Vice City San Andreas	2	car handle, int	lock car doors	
020B	GTA III Vice City San Andreas	1	car handle	explode car	
020C	GTA III Vice City San Andreas	4	flt, flt, flt, int	add explosion	parameters rearranged in SB
020D	GTA III Vice City San Andreas	1	car handle	is car upright	
020E	GTA III Vice City	2	char handle, char handle	turn char to face char	
020F	GTA III Vice City	2	char handle, player handle	turn char to face player	
0210	GTA III Vice City	2	player handle, char handle	turn player to face char	
0211	GTA III Vice City	3	char handle, flt, flt	set char obj goto coord on foot	
0212	unsupported	-			
0213	GTA III Vice City San Andreas	6	int, int, flt, flt, flt, var	create pickup	parameters rearranged in SB
0214	GTA III Vice City San Andreas	1	pickup handle	has pickup been collected	
0215	GTA III Vice City San Andreas	1	pickup handle	remove pickup	
0216	GTA III Vice City San Andreas	2	car handle, int	set taxi lights	
0217	GTA III Vice City San Andreas	3	string, int, int	print text big q	
0218	GTA III	4	string, int, int, int	print text with number big q	restored in VC
0219	GTA III
Vice City	8
10	flt, flt, flt, flt, flt, flt, int, var
flt, flt, flt, flt, flt, flt, flt, flt, int, var	create garage	parameters rearranged in SB
021A	GTA III	9	flt, flt, flt, flt, flt, flt, int, int, var	create garage with car model	
021B	GTA III Vice City San Andreas	2	garage handle, car handle	set target car for mission garage	
021C	GTA III Vice City	1	garage handle	is car in mission garage	
021D	GTA III	1	int	set free bombs	restored in VC
021E	unsupported	-			
021F	GTA III	1	int	set all taxi lights	restored in VC
0220	GTA III	1	car handle	does car have car bomb	restored in VC
0221	GTA III Vice City San Andreas	2	player handle, int	set player cannot exit car	
0222	GTA III Vice City	2	player handle, int	set player health	
0223	GTA III Vice City San Andreas	2	char handle, int	set char health	
0224	GTA III Vice City San Andreas	2	car handle, int	set car health	
0225	GTA III Vice City	2	player handle, var	get player health	parameters rearranged in SB
0226	GTA III Vice City San Andreas	2	char handle, var	get char health	parameters rearranged in SB
0227	GTA III Vice City San Andreas	2	car handle, var	get car health	parameters rearranged in SB
0228	GTA III	2	car handle, int	is car armed with bomb	restored in VC
0229	GTA III Vice City San Andreas	3	car handle, int, int	change car colour	
022A	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	switch ped paths on	
022B	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	switch ped paths off	
022C	GTA III Vice City	2	char handle, char handle	char look at char always	
022D	GTA III Vice City	2	char handle, player handle	char look at player always	
022E	GTA III Vice City	2	player handle, char handle	player look at char always	
022F	GTA III Vice City	1	char handle	stop char looking	
0230	GTA III Vice City	1	player handle	stop player looking	
0231	GTA III	1	int	set second police helicopter	
0232	unsupported	-			
0233	unsupported	-			
0234	unsupported	-			
0235	Vice City	3	int, int, int	set gang models	
0236	GTA III Vice City	2	int, int	set gang car	
0237	GTA III Vice City
San Andreas	3
4	int, int, int
int, int, int, int	set gang weapons	
0238	GTA III	5	player handle, flt, flt, flt, flt	set char obj run to area	
0239	GTA III Vice City	3	char handle, flt, flt	set char obj run to coord	
023A	GTA III	2	player handle, object handle	is player touching object on foot	restored in VC
023B	GTA III San Andreas	2	char handle, object handle	is char touching object on foot	restored in VC
023C	GTA III Vice City San Andreas	2	int, string	load special character	parameters rearranged in SB in San Andreas
023D	GTA III Vice City San Andreas	1	string	has special character loaded	
023E	GTA III	2	car handle, int	flash car	restored in VC
023F	GTA III	2	char handle, int	flash char	restored in VC
0240	GTA III	2	object handle, int	flash object	restored in VC
0241	GTA III Vice City San Andreas	1	player handle	is player in remote mode	
0242	GTA III	2	car handle	arm car with bomb	restored in VC
0243	GTA III Vice City	2	char handle, int	set char personality	
0244	GTA III Vice City San Andreas	3	flt, flt, flt	set cutscene offset	
0245	GTA III Vice City San Andreas	2	char handle, int	set anim group for char	
0246	GTA III	2	player handle, int	set anim group for player	
0247	GTA III Vice City San Andreas	1	int	request model	
0248	GTA III Vice City San Andreas	1	int	has model loaded	
0249	GTA III Vice City San Andreas	1	int	mark model as no longer needed	
024A	GTA III Vice City	3	flt, flt, var	get phone	
024B	GTA III	2	phone handle, string	set repeated phone message	restored in VC
024C	GTA III	2	phone handle, string	set phone message	restored in VC
024D	GTA III	1	phone handle	has phone displayed message	restored in VC
024E	GTA III Vice City	1	phone handle	turn phone off	
024F	GTA III Vice City San Andreas	9	flt, flt, flt, flt, int, int, int, int, int	create corona	
0250	GTA III	6	flt, flt, flt, int, int, int	draw light	restored in VC
0251	GTA III	0		store weather state	
0252	GTA III	0		restore weather state	
0253	GTA III Vice City San Andreas	0		save current time	
0254	GTA III Vice City San Andreas	0		restore current time	
0255	GTA III	4	flt, flt, flt, flt	restart critical mission	restored in VC
0256	GTA III Vice City San Andreas	1	player handle	is player playing	
0257	unsupported	-			
—					
0291	GTA III Vice City	2	char handle, int	set char heed threats	
0292	GTA III	2	player handle, int	set player attack when provoked	
0293	GTA III Vice City San Andreas	1	var	get controller mode	
0294	GTA III Vice City San Andreas	2	car handle, int	set can respray car	
0295	GTA III	1	car handle	is car taxi vehicle	restored in VC
0296	GTA III Vice City San Andreas	1	int	unload special character	
0297	GTA III Vice City
San Andreas	0
1	
player handle	reset number of models killed by player	
0298	GTA III Vice City
San Andreas	2
3	int, var
player handle, int, var	get number of models killed by player	parameters rearranged in SB
0299	GTA III
San Andreas	1	garage handle
string	activate garage	restored in VC
029A	GTA III	1	int	switch taxi timer	
029B	GTA III Vice City San Andreas	5	int, flt, flt, flt, object handle	create object no offset	parameters rearranged in SB
029C	GTA III	1	car handle	is boat	restored in VC
029D	GTA III	5	char handle, flt, flt, flt, flt	task actor drive then walk to area	
029E	unsupported	-			
029F	GTA III Vice City	1	player handle	is player stopped	
02A0	GTA III	1	char handle	is char stopped	restored in VC
02A1	GTA III	2	int, int	message wait	restored in VC
02A2	GTA III	5	int, int, flt, flt, flt	add particle effect	restored in VC
02A3	GTA III Vice City San Andreas	1	int	switch widescreen	
02A4	GTA III	3	car handle, int, var	add sprite blip for car	restored in VC
02A5	GTA III	3	char handle, int, var	add sprite blip for char	restored in VC
02A6	GTA III	3	object handle, int, var	add sprite blip for object	restored in VC
02A7	GTA III Vice City San Andreas	5	flt, flt, flt, int, var	add sprite blip for contact point	parameters rearranged in SB
02A8	GTA III Vice City San Andreas	5	flt, flt, flt, int, var	add sprite blip for coord	parameters rearranged in SB
02A9	GTA III Vice City San Andreas	2	char handle, int	set char only damaged by player	
02AA	GTA III Vice City San Andreas	2	car handle, int	set car only damaged by player	
02AB	GTA III Vice City San Andreas	6	char handle, int, int, int, int, int	set char proofs	
02AC	GTA III Vice City San Andreas	6	car handle, int, int, int, int, int	set car proofs	
02AD	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player in angled area 2d	
02AE	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player in angled area on foot 2d	
02AF	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player in angled area in car 2d	
02B0	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player stopped in angled area 2d	
02B1	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player stopped in angled area on foot 2d	
02B2	GTA III Vice City	7	player handle, flt, flt, flt, flt, flt, int	is player stopped in angled area in car 2d	
02B3	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player in angled area 3d	
02B4	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player in angled area on foot 3d	
02B5	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player in angled area in car 3d	
02B6	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player stopped in angled area 3d	
02B7	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player stopped in angled area on foot 3d	
02B8	GTA III Vice City	9	player handle, flt, flt, flt, flt, flt, flt, flt, int	is player stopped in angled area in car 3d	
02B9	GTA III San Andreas	1	garage handle	deactivate garage	restored in VC
02BA	GTA III	2	garage handle, var	get number of cars collected by garage (unsupported)	
02BB	GTA III	2	garage handle, car handle	has specified car been taken to garage (unsupported)	
02BC	GTA III	1	int	set swat required	restored in VC
02BD	unsupported	-			restored in III and VC, used in Liberty City mod for VC
02BE	unsupported	-			restored in III and VC
02BF	GTA III Vice City San Andreas	1	car handle	is car in water	
02C0	GTA III Vice City San Andreas	6	flt, flt, flt, var, var, var	get closest char node	parameters rearranged in SB
02C1	GTA III Vice City San Andreas	6	flt, flt, flt, var, var, var	get closest car node	parameters rearranged in SB
02C2	GTA III Vice City San Andreas	4	car handle, flt, flt, flt	car goto coordinates accurate	
02C3	GTA III	1	int	start pacman race	restored in VC
02C4	GTA III	0		save player coords	nothing reads the data
02C5	GTA III	1	var	get number of power pills eaten	restored in VC
02C6	GTA III	0		clear pacman	restored in VC
02C7	GTA III	5	flt, flt, flt, flt, int	start pacman scramble	parameters rearranged in SB, restored in VC
02C8	GTA III	1	var	get number of power pills carried	restored in VC
02C9	GTA III	0		clear number of power pills carried	restored in VC
02CA	GTA III Vice City San Andreas	1	car handle	is car on screen	
02CB	GTA III Vice City San Andreas	1	char handle	is char on screen	
02CC	GTA III Vice City San Andreas	1	object handle	is object on screen	
02CD	GTA III	2	int, int	gosub file	restored in VC
02CE	GTA III Vice City San Andreas	4	flt, flt, flt, var	get ground z for 3d coord	parameters rearranged in SB
02CF	GTA III Vice City San Andreas	4	flt, flt, flt, var	start script fire	parameters rearranged in SB
02D0	GTA III Vice City San Andreas	1	fire handle	is fire extinguished	
02D1	GTA III Vice City San Andreas	1	fire handle	remove fire	
02D2	GTA III	2	car handle, int	set comedy controls	
02D3	GTA III Vice City San Andreas	4	car handle, flt, flt, flt	boat goto coords	
02D4	GTA III Vice City San Andreas	1	car handle	boat stop	
02D5	GTA III Vice City	6	player handle, flt, flt, flt, flt, int	is player shooting in area	
02D6	GTA III San Andreas	6	char handle, flt, flt, flt, flt, int	is char shooting in area	restored in VC
02D7	GTA III Vice City	2	player handle, int	is current player weapon	
02D8	GTA III Vice City San Andreas	2	char handle, int	is current char weapon	
02D9	GTA III	0		clear number of power pills eaten	restored in VC
02DA	GTA III	3	flt, flt, flt	add power pill	restored in VC
02DB	GTA III Vice City San Andreas	2	car handle, flt	set boat cruise speed	
02DC	GTA III	5	flt, flt, flt, flt, var	get random char in area	
02DD	GTA III
Vice City San Andreas	3
5	string, var
string, int, int, int, var	get random char in zone	parameters rearranged in GTA III in SB
02DE	GTA III Vice City	1	player handle	is player in taxi	
02DF	GTA III Vice City	1	player handle	is player shooting	
02E0	GTA III Vice City San Andreas	1	char handle	is char shooting	
02E1	GTA III Vice City San Andreas	5	flt, flt, flt, int, var	create money pickup	parameters rearranged in SB
02E2	GTA III Vice City San Andreas	2	char handle, int	set char accuracy	
02E3	GTA III Vice City San Andreas	2	car handle, var	get car speed	parameters rearranged in SB
02E4	GTA III Vice City San Andreas	1	string	load cutscene	
02E5	GTA III Vice City	2	int, var	create cutscene object	parameters rearranged in SB
02E6	GTA III Vice City	2	object handle, string	set cutscene anim	
02E7	GTA III Vice City San Andreas	0		start cutscene	
02E8	GTA III Vice City San Andreas	1	var	get cutscene time	
02E9	GTA III Vice City San Andreas	0		has cutscene finished	
02EA	GTA III Vice City San Andreas	0		clear cutscene	
02EB	GTA III Vice City San Andreas	0		restore camera jumpcut	
02EC	GTA III Vice City	3	flt, flt, flt	create hidden package pickup	
02ED	GTA III Vice City San Andreas	1	int	set total hidden packages	
02EE	GTA III	6	flt, flt, flt, flt, flt, flt	is projectile in area	restored in VC
02EF	GTA III	6	flt, flt, flt, flt, flt, flt	destroy projectile in area	IF and SET, restored in VC
02F0	GTA III	3	flt, flt, flt	drop mine	restored in VC
02F1	GTA III	3	flt, flt, flt	drop nautical mine	restored in VC
02F2	GTA III Vice City San Andreas	2	char handle, int	is char model	
02F3	GTA III Vice City	2	int, string	load special model	
02F4	GTA III	3	object handle, int, object handle	create cutscene head	parameters rearranged in SB
02F5	GTA III	2	object handle, string	set cutscene head anim	
02F6	GTA III Vice City San Andreas	2	float, var	get sine	parameters rearranged in SB
02F7	GTA III Vice City San Andreas	2	float, var	get cosine	parameters rearranged in SB
02F8	GTA III Vice City San Andreas	2	car handle, var	get car forward x	
02F9	GTA III Vice City San Andreas	2	car handle, var	get car forward y	
02FA	GTA III Vice City San Andreas	2	garage handle, int	change garage type	
02FB	GTA III	10	flt, flt, flt, flt, flt, flt, flt, flt, flt, flt	create crusher crane	restored in VC
02FC	GTA III	5	string, int, int, int, int	print with 2 numbers	restored in VC
02FD	GTA III Vice City San Andreas	5	string, int, int, int, int	print with 2 numbers now	
02FE	GTA III	5	string, int, int, int, int	print with 2 numbers soon	
02FF	GTA III Vice City San Andreas	6	string, int, int, int, int, int	print with 3 numbers	
0300	GTA III	6	string, int, int, int, int, int	print with 3 numbers now	restored in VC
0301	unsupported	-			
0302	GTA III Vice City San Andreas	7	string, int, int, int, int, int, int	print with 4 numbers	
0303	GTA III San Andreas	7	string, int, int, int, int, int, int	print with 4 numbers now	restored in VC
0304	unsupported	-			
0305	GTA III	8	string, int, int, int, int, int, int, int	print with 5 numbers	restored in VC
0306	GTA III	8	string, int, int, int, int, int, int, int	print with 5 numbers now	restored in VC
0307	unsupported	-			
0308	GTA III Vice City San Andreas	9	string, int, int, int, int, int, int, int, int	print with 6 numbers	
0309	GTA III	9	string, int, int, int, int, int, int, int, int	print with 6 numbers now	restored in VC
030A	unsupported	-			
030B	GTA III	3	char handle, char handle, int	set formation	
030C	GTA III Vice City San Andreas	1	int	player made progress	
030D	GTA III Vice City San Andreas	1	int	set max progress	
030E	GTA III Vice City	1	flt	register jump distance	
030F	GTA III Vice City	1	flt	register jump height	
0310	GTA III Vice City	1	int	register jump flips	
0311	GTA III Vice City	1	int	register jump spins	
0312	GTA III Vice City	1	int	register jump stunt	
0313	GTA III Vice City	0		register unique jump found	
0314	GTA III Vice City	1	int	set unique jumps total	
0315	GTA III Vice City	0		register passenger dropped off taxi	
0316	GTA III Vice City	1	int	register money made taxi	
0317	GTA III Vice City San Andreas	0		register mission given	
0318	GTA III Vice City San Andreas	1	string	register mission passed	
0319	GTA III Vice City	2	char handle, int	set char running	
031A	GTA III Vice City San Andreas	0		remove all script fires	
031B	GTA III	2	car handle, int	is car primary color	restored in VC
031C	GTA III	2	car handle, int	is car secondary color	restored in VC
031D	GTA III Vice City San Andreas	2	char handle, int	has char been damaged by weapon	
031E	GTA III Vice City San Andreas	2	car handle, int	has car been damaged by weapon	
031F	GTA III Vice City	2	char handle, char handle	is char in chars group	
0320	GTA III Vice City	2	char handle, player handle	is char in players group	
0321	GTA III Vice City San Andreas	1	char handle	explode char head	
0322	GTA III Vice City	1	player handle	explode player head	
0323	GTA III Vice City San Andreas	2	car handle, int	anchor boat	
0324	GTA III Vice City	3	string, int, int	set pedgroup info	
0325	GTA III Vice City San Andreas	2	car handle, var	start car fire	parameters rearranged in SB
0326	GTA III Vice City San Andreas	2	char handle, var	start char fire	parameters rearranged in SB
0327	GTA III Vice City San Andreas	6	flt, flt, flt, flt, int, var	get random car of type in area	parameters rearranged in SB
0328	GTA III	3	string, int, var	get random car of type in zone	
0329	GTA III Vice City	1	garage handle	has respray happened	
032A	GTA III Vice City San Andreas	1	int	set behind camera mode	
032B	GTA III Vice City San Andreas	7	int, int, int, flt, flt, flt, var	create pickup with ammo	parameters rearranged in SB
032C	GTA III Vice City	2	car handle, car handle	set car ram car	
032D	GTA III	2	car handle, car handle	set car block car	restored in VC
032E	GTA III	1	char handle	set char obj catch train	
032F	unsupported	-			
0330	GTA III Vice City San Andreas	2	player handle, int	set player never gets tired	
0331	GTA III Vice City San Andreas	2	player handle, int	set player fast reload	
0332	GTA III Vice City San Andreas	2	char handle, int	set char bleeding	
0333	GTA III	1	car handle	set car funny suspension	
0334	GTA III	2	car handle, int	set car big wheels	
0335	GTA III Vice City San Andreas	1	int	set free resprays	
0336	GTA III Vice City	2	player handle, int	set player visible	
0337	GTA III Vice City San Andreas	2	char handle, int	set char visible	
0338	GTA III San Andreas	2	car handle, int	set car visible	restored in VC
0339	GTA III Vice City San Andreas	11	flt, flt, flt, flt, flt, flt, int, int, int, int, int	is area occupied	
033A	GTA III	0		start incoming cessna	
033B	GTA III	0		has incoming cessna been completed	
033C	GTA III	0		has incoming cessna been shot down	
033D	GTA III	1	player handle	put out fire on player	
033E	GTA III Vice City San Andreas	3	flt, flt, string	display text	
033F	GTA III Vice City San Andreas	2	flt, flt	set text scale	
0340	GTA III Vice City San Andreas	4	int, int, int, int	set text colour	
0341	GTA III Vice City San Andreas	1	int	set text justify	
0342	GTA III Vice City San Andreas	1	int	set text centre	
0343	GTA III Vice City San Andreas	1	flt	set text line width	
0344	GTA III San Andreas	1	flt	set text centre size	
0345	GTA III Vice City San Andreas	1	int	set text background	
0346	GTA III	4	int, int, int, int	set text background colour	restored in VC
0347	GTA III	1	int	set text background only text	
0348	GTA III Vice City San Andreas	1	int	set text proportional	
0349	GTA III San Andreas	1	int	set text font	restored in VC
034A	GTA III	0		industrial passed	used in Liberty City mod for VC
034B	GTA III	0		commercial passed	used in Liberty City mod for VC
034C	GTA III	0		suburban passed	used in Liberty City mod for VC
034D	GTA III Vice City San Andreas	4	object handle, flt, flt, int	rotate object	IF and SET
034E	GTA III Vice City San Andreas	8	object handle, flt, flt, flt, flt, flt, flt, int	slide object	IF and SET
034F	GTA III Vice City San Andreas	1	char handle	remove char elegantly	
0350	GTA III Vice City San Andreas	2	char handle, int	set char stay in same place	
0351	GTA III	0		is nasty game	restored in VC
0352	GTA III Vice City	2	char handle, string	undress char	
0353	GTA III Vice City	1	char handle	dress char	
0354	GTA III	1	flt	start chase scene	used in Liberty City mod for VC
0355	GTA III	0		stop chase scene	used in Liberty City mod for VC
0356	GTA III San Andreas	7	int, flt, flt, flt, flt, flt, flt	is explosion in area	restored in VC
0357	GTA III	2	int, string	is explosion in zone	restored in VC
0358	GTA III	0		start drop off cessna	
0359	GTA III	0		has drop off cessna been shot down	
035A	GTA III	3	var, var, var	find drop off cessna coordinates	
035B	GTA III	4	flt, flt, flt, var	create floating package	parameters rearranged in SB
